"Currency:","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","KRW","MYR","MXN","NOK","SEK","ZAR","SGD","LKR","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SD","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.SL","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2003-05,0.6468,1.1556,0.5756,1.6224,2.9517,1.3840,8.2769,6.4268,7.7991,47.1100,117.3681,1201.2333,3.8000,10.2528,6.8145,7.9213,7.6604,1.7357,97.2305,1.3111,34.6970,42.2171,1.6000
2003-06,0.6652,1.1674,0.5815,1.6609,2.8887,1.3525,8.2771,6.3620,7.7988,46.6995,118.3290,1194.1429,3.8000,10.5028,7.0093,7.8116,7.8588,1.7351,97.2362,1.3196,34.6329,41.6752,1.6000
2003-07,0.6607,1.1365,0.5864,1.6221,2.8833,1.3821,8.2773,6.5425,7.7992,46.2200,118.6959,1181.1636,3.8000,10.4581,7.2924,8.0929,7.5458,1.7551,97.1527,1.3611,34.3968,41.8077,1.6000
2003-08,0.6518,1.1155,0.5829,1.5939,3.0053,1.3963,8.2770,6.6653,7.7993,45.9557,118.6624,1178.6000,3.8000,10.7830,7.4096,8.2821,7.3945,1.7533,96.9748,1.3811,34.3181,41.6564,1.6000
2003-09,0.6635,1.1267,0.5843,1.6155,2.9204,1.3634,8.2772,6.5953,7.7850,45.8467,114.8000,1165.4048,3.8000,10.9229,7.2782,8.0426,7.3060,1.7466,95.2843,1.3743,33.9948,40.4829,1.6000
2003-10,0.6948,1.1714,0.6020,1.6792,2.8628,1.3221,8.2768,6.3449,7.7427,45.4036,109.4955,1169.3409,3.8000,11.1796,7.0331,7.6957,6.9644,1.7345,94.5595,1.3222,33.8745,39.7605,1.6000
2003-11,0.7158,1.1710,0.6285,1.6897,2.9150,1.3130,8.2769,6.3526,7.7637,45.5544,109.1778,1186.3889,3.8000,11.1494,7.0054,7.6799,6.7205,1.7282,96.0106,1.3318,34.0361,39.9350,1.6000
2003-12,0.7391,1.2298,0.6471,1.7516,2.9255,1.3128,8.2770,6.0537,7.7645,45.5741,107.7377,1192.3364,3.8000,11.2515,6.7128,7.3395,6.5374,1.7107,96.4132,1.2643,34.0564,39.7450,1.5999
2004-01,0.7717,1.2638,0.6738,1.8255,2.8533,1.2958,8.2770,5.8952,7.7663,45.4560,106.2685,1183.3450,3.8000,10.9203,6.8117,7.2334,6.9398,1.6965,98.0090,1.2391,33.6685,39.1241,1.6000
2004-02,0.7770,1.2640,0.6916,1.8673,2.9342,1.3299,8.2771,5.8956,7.7748,45.2726,106.7079,1167.5316,3.8000,11.0319,6.9508,7.2630,6.7542,1.6869,98.5074,1.2448,33.2137,39.1158,1.8189
